Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Geremy Davis (13425164),Geremy Davis,13425164,WR/FLEX,3000,LAC@MIA 09/29/2019 01:00PM ET,LAC,5.7
WR,Dontrelle Inman (13425166),Dontrelle Inman,13425166,WR/FLEX,3000,LAC@MIA 09/29/2019 01:00PM ET,LAC,8.6
WR,Trey Quinn (13425226),Trey Quinn,13425226,WR/FLEX,3000,WAS@NYG 09/29/2019 01:00PM ET,WAS,9.7
WR,Kelvin Harmon (13425228),Kelvin Harmon,13425228,WR/FLEX,3000,WAS@NYG 09/29/2019 01:00PM ET,WAS,1.4
RB,Travis Homer (13424938),Travis Homer,13424938,RB/FLEX,3000,SEA@ARI 09/29/2019 04:05PM ET,SEA,1.1
WR,Trent Sherfield (13425160),Trent Sherfield,13425160,WR/FLEX,3000,SEA@ARI 09/29/2019 04:05PM ET,ARI,6.2
WR,Bobo Wilson (13425156),Bobo Wilson,13425156,WR/FLEX,3000,TB@LAR 09/29/2019 04:05PM ET,TB,0.1
WR,JoJo Natson (13425214),JoJo Natson,13425214,WR/FLEX,3000,TB@LAR 09/29/2019 04:05PM ET,LAR,0.2
RB,Ameer Abdullah (13424950),Ameer Abdullah,13424950,RB/FLEX,3000,MIN@CHI 09/29/2019 04:25PM ET,MIN,0.1
RB,C.J. Ham (13424954),C.J. Ham,13424954,RB/FLEX,3000,MIN@CHI 09/29/2019 04:25PM ET,MIN,0.6
