Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jacoby Brissett (13424700),Jacoby Brissett,13424700,QB,5400,OAK@IND 09/29/2019 01:00PM ET,IND,20.9
WR,John Brown (13425008),John Brown,13425008,WR/FLEX,5300,NE@BUF 09/29/2019 01:00PM ET,BUF,12.2
QB,Derek Carr (13424701),Derek Carr,13424701,QB,5300,OAK@IND 09/29/2019 01:00PM ET,OAK,18.3
QB,Daniel Jones (13424702),Daniel Jones,13424702,QB,5300,WAS@NYG 09/29/2019 01:00PM ET,NYG,17.7
RB,David Montgomery (13424778),David Montgomery,13424778,RB/FLEX,5300,MIN@CHI 09/29/2019 04:25PM ET,CHI,12.4
WR,Demarcus Robinson (13425010),Demarcus Robinson,13425010,WR/FLEX,5200,KC@DET 09/29/2019 01:00PM ET,KC,12.2
QB,Kyle Allen (13424704),Kyle Allen,13424704,QB,5200,CAR@HOU 09/29/2019 01:00PM ET,CAR,18.2
TE,Darren Waller (13425250),Darren Waller,13425250,TE/FLEX,5200,OAK@IND 09/29/2019 01:00PM ET,OAK,17.3
RB,Phillip Lindsay (13424780),Phillip Lindsay,13424780,RB/FLEX,5200,JAX@DEN 09/29/2019 04:25PM ET,DEN,16
QB,Marcus Mariota (13424703),Marcus Mariota,13424703,QB,5100,TEN@ATL 09/29/2019 01:00PM ET,TEN,18
WR,Jarvis Landry (13425012),Jarvis Landry,13425012,WR/FLEX,5100,CLE@BAL 09/29/2019 01:00PM ET,CLE,12
WR,Mecole Hardman (13425014),Mecole Hardman,13425014,WR/FLEX,5100,KC@DET 09/29/2019 01:00PM ET,KC,8.8
RB,Josh Jacobs (13424782),Josh Jacobs,13424782,RB/FLEX,5100,OAK@IND 09/29/2019 01:00PM ET,OAK,11.7
WR,Christian Kirk (13425018),Christian Kirk,13425018,WR/FLEX,5100,SEA@ARI 09/29/2019 04:05PM ET,ARI,13.7
RB,Devonta Freeman (13424784),Devonta Freeman,13424784,RB/FLEX,5000,TEN@ATL 09/29/2019 01:00PM ET,ATL,14.7
WR,Calvin Ridley (13425020),Calvin Ridley,13425020,WR/FLEX,5000,TEN@ATL 09/29/2019 01:00PM ET,ATL,11.4
TE,Mark Andrews (13425252),Mark Andrews,13425252,TE/FLEX,5000,CLE@BAL 09/29/2019 01:00PM ET,BAL,14.8
QB,Mitchell Trubisky (13424706),Mitchell Trubisky,13424706,QB,5000,MIN@CHI 09/29/2019 04:25PM ET,CHI,16.2
QB,Kirk Cousins (13424707),Kirk Cousins,13424707,QB,5000,MIN@CHI 09/29/2019 04:25PM ET,MIN,16.6
RB,James White (13424786),James White,13424786,RB/FLEX,4900,NE@BUF 09/29/2019 01:00PM ET,NE,10.4
WR,Parris Campbell (13425022),Parris Campbell,13425022,WR/FLEX,4900,OAK@IND 09/29/2019 01:00PM ET,IND,5.6
QB,Case Keenum (13424708),Case Keenum,13424708,QB,4900,WAS@NYG 09/29/2019 01:00PM ET,WAS,17.5
WR,Emmanuel Sanders (13425034),Emmanuel Sanders,13425034,WR/FLEX,4900,JAX@DEN 09/29/2019 04:25PM ET,DEN,14.1
TE,Delanie Walker (13425254),Delanie Walker,13425254,TE/FLEX,4800,TEN@ATL 09/29/2019 01:00PM ET,TEN,11.9
RB,Royce Freeman (13424788),Royce Freeman,13424788,RB/FLEX,4800,JAX@DEN 09/29/2019 04:25PM ET,DEN,12.4
WR,Cole Beasley (13425030),Cole Beasley,13425030,WR/FLEX,4700,NE@BUF 09/29/2019 01:00PM ET,BUF,9.4
RB,Darrel Williams (13424790),Darrel Williams,13424790,RB/FLEX,4700,KC@DET 09/29/2019 01:00PM ET,KC,10.3
WR,Curtis Samuel (13425032),Curtis Samuel,13425032,WR/FLEX,4600,CAR@HOU 09/29/2019 01:00PM ET,CAR,12.7
RB,Tarik Cohen (13424794),Tarik Cohen,13424794,RB/FLEX,4600,MIN@CHI 09/29/2019 04:25PM ET,CHI,10.6
QB,Joe Flacco (13424711),Joe Flacco,13424711,QB,4600,JAX@DEN 09/29/2019 04:25PM ET,DEN,15.8
WR,Courtland Sutton (13425036),Courtland Sutton,13425036,WR/FLEX,4600,JAX@DEN 09/29/2019 04:25PM ET,DEN,12.5
WR,Will Fuller V (13425038),Will Fuller V,13425038,WR/FLEX,4500,CAR@HOU 09/29/2019 01:00PM ET,HOU,12
WR,Zach Pascal (13425042),Zach Pascal,13425042,WR/FLEX,4500,OAK@IND 09/29/2019 01:00PM ET,IND,4.2
QB,Josh Rosen (13424713),Josh Rosen,13424713,QB,4500,LAC@MIA 09/29/2019 01:00PM ET,MIA,13.6
RB,Chris Thompson (13424796),Chris Thompson,13424796,RB/FLEX,4500,WAS@NYG 09/29/2019 01:00PM ET,WAS,13.7
WR,Terry McLaurin (13425040),Terry McLaurin,13425040,WR/FLEX,4500,WAS@NYG 09/29/2019 01:00PM ET,WAS,11.6
WR,Willie Snead IV (13425044),Willie Snead IV,13425044,WR/FLEX,4400,CLE@BAL 09/29/2019 01:00PM ET,BAL,5.6
RB,Frank Gore (13424798),Frank Gore,13424798,RB/FLEX,4400,NE@BUF 09/29/2019 01:00PM ET,BUF,9.4
RB,Rex Burkhead (13424800),Rex Burkhead,13424800,RB/FLEX,4400,NE@BUF 09/29/2019 01:00PM ET,NE,10.3
RB,Malcolm Brown (13424802),Malcolm Brown,13424802,RB/FLEX,4400,TB@LAR 09/29/2019 04:05PM ET,LAR,5.8
TE,Austin Hooper (13425256),Austin Hooper,13425256,TE/FLEX,4300,TEN@ATL 09/29/2019 01:00PM ET,ATL,12.4
RB,Darwin Thompson (13424812),Darwin Thompson,13424812,RB/FLEX,4300,KC@DET 09/29/2019 01:00PM ET,KC,2.7
RB,Carlos Hyde (13424810),Carlos Hyde,13424810,RB/FLEX,4300,CAR@HOU 09/29/2019 01:00PM ET,HOU,10.2
RB,Adrian Peterson (13424808),Adrian Peterson,13424808,RB/FLEX,4300,WAS@NYG 09/29/2019 01:00PM ET,WAS,13.2
RB,Elijhaa Penny (13424814),Elijhaa Penny,13424814,RB/FLEX,4300,WAS@NYG 09/29/2019 01:00PM ET,NYG,5.4
RB,Peyton Barber (13424806),Peyton Barber,13424806,RB/FLEX,4300,TB@LAR 09/29/2019 04:05PM ET,TB,6.5
WR,Marqise Lee (13425048),Marqise Lee,13425048,WR/FLEX,4300,JAX@DEN 09/29/2019 04:25PM ET,JAX,1.3
WR,Corey Davis (13425052),Corey Davis,13425052,WR/FLEX,4200,TEN@ATL 09/29/2019 01:00PM ET,TEN,8
RB,Devin Singletary (13424818),Devin Singletary,13424818,RB/FLEX,4200,NE@BUF 09/29/2019 01:00PM ET,BUF,5.3
WR,Kenny Stills (13425050),Kenny Stills,13425050,WR/FLEX,4200,CAR@HOU 09/29/2019 01:00PM ET,HOU,9.3
TE,Greg Olsen (13425258),Greg Olsen,13425258,TE/FLEX,4200,CAR@HOU 09/29/2019 01:00PM ET,CAR,14.6
RB,Kenyan Drake (13424816),Kenyan Drake,13424816,RB/FLEX,4200,LAC@MIA 09/29/2019 01:00PM ET,MIA,11.5
RB,Rashaad Penny (13424822),Rashaad Penny,13424822,RB/FLEX,4200,SEA@ARI 09/29/2019 04:05PM ET,SEA,0
WR,Mohamed Sanu (13425056),Mohamed Sanu,13425056,WR/FLEX,4100,TEN@ATL 09/29/2019 01:00PM ET,ATL,10.1
RB,Justin Jackson (13424824),Justin Jackson,13424824,RB/FLEX,4100,LAC@MIA 09/29/2019 01:00PM ET,LAC,1.1
WR,DeVante Parker (13425054),DeVante Parker,13425054,WR/FLEX,4100,LAC@MIA 09/29/2019 01:00PM ET,MIA,8
WR,Adam Humphries (13425062),Adam Humphries,13425062,WR/FLEX,4000,TEN@ATL 09/29/2019 01:00PM ET,TEN,8.2
RB,Nyheim Hines (13424826),Nyheim Hines,13424826,RB/FLEX,4000,OAK@IND 09/29/2019 01:00PM ET,IND,7.1
RB,Jalen Richard (13424828),Jalen Richard,13424828,RB/FLEX,4000,OAK@IND 09/29/2019 01:00PM ET,OAK,3.1
TE,Eric Ebron (13425262),Eric Ebron,13425262,TE/FLEX,4000,OAK@IND 09/29/2019 01:00PM ET,IND,9.3
WR,Albert Wilson (13425058),Albert Wilson,13425058,WR/FLEX,4000,LAC@MIA 09/29/2019 01:00PM ET,MIA,3.6
RB,C.J. Prosise (13424830),C.J. Prosise,13424830,RB/FLEX,4000,SEA@ARI 09/29/2019 04:05PM ET,SEA,7.8
WR,Chris Conley (13425060),Chris Conley,13425060,WR/FLEX,4000,JAX@DEN 09/29/2019 04:25PM ET,JAX,8.6
WR,Danny Amendola (13425066),Danny Amendola,13425066,WR/FLEX,3900,KC@DET 09/29/2019 01:00PM ET,DET,10
WR,Preston Williams (13425064),Preston Williams,13425064,WR/FLEX,3900,LAC@MIA 09/29/2019 01:00PM ET,MIA,10.3
