Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (13304263),Saquon Barkley,13304263,RB/FLEX,9200,BUF@NYG 09/15/2019 01:00PM ET,NYG,25.7
RB,Ezekiel Elliott (13304265),Ezekiel Elliott,13304265,RB/FLEX,8700,DAL@WAS 09/15/2019 01:00PM ET,DAL,18.2
RB,Alvin Kamara (13304267),Alvin Kamara,13304267,RB/FLEX,8200,NO@LAR 09/15/2019 04:25PM ET,NO,20.8
WR,DeAndre Hopkins (13304491),DeAndre Hopkins,13304491,WR/FLEX,8100,JAX@HOU 09/15/2019 01:00PM ET,HOU,19
WR,Michael Thomas (13304493),Michael Thomas,13304493,WR/FLEX,8000,NO@LAR 09/15/2019 04:25PM ET,NO,21.6
WR,Davante Adams (13304495),Davante Adams,13304495,WR/FLEX,7700,MIN@GB 09/15/2019 01:00PM ET,GB,16.9
WR,Keenan Allen (13304497),Keenan Allen,13304497,WR/FLEX,7600,LAC@DET 09/15/2019 01:00PM ET,LAC,22.4
WR,JuJu Smith-Schuster (13304501),JuJu Smith-Schuster,13304501,WR/FLEX,7500,SEA@PIT 09/15/2019 01:00PM ET,PIT,19.4
QB,Patrick Mahomes (13304200),Patrick Mahomes,13304200,QB,7500,KC@OAK 09/15/2019 04:05PM ET,KC,24.9
WR,Amari Cooper (13304503),Amari Cooper,13304503,WR/FLEX,7400,DAL@WAS 09/15/2019 01:00PM ET,DAL,13.5
TE,Travis Kelce (13304807),Travis Kelce,13304807,TE/FLEX,7300,KC@OAK 09/15/2019 04:05PM ET,KC,18.6
RB,Dalvin Cook (13304273),Dalvin Cook,13304273,RB/FLEX,7200,MIN@GB 09/15/2019 01:00PM ET,MIN,15.8
WR,Sammy Watkins (13304505),Sammy Watkins,13304505,WR/FLEX,7200,KC@OAK 09/15/2019 04:05PM ET,KC,18.8
RB,David Johnson (13304271),David Johnson,13304271,RB/FLEX,7100,ARI@BAL 09/15/2019 01:00PM ET,ARI,16.5
WR,Adam Thielen (13304511),Adam Thielen,13304511,WR/FLEX,7100,MIN@GB 09/15/2019 01:00PM ET,MIN,16.1
WR,Antonio Brown (13304509),Antonio Brown,13304509,WR/FLEX,7000,NE@MIA 09/15/2019 01:00PM ET,NE,16.9
RB,Todd Gurley II (13304275),Todd Gurley II,13304275,RB/FLEX,7000,NO@LAR 09/15/2019 04:25PM ET,LAR,15.1
WR,Julian Edelman (13304513),Julian Edelman,13304513,WR/FLEX,6900,NE@MIA 09/15/2019 01:00PM ET,NE,17.3
TE,George Kittle (13304809),George Kittle,13304809,TE/FLEX,6800,SF@CIN 09/15/2019 01:00PM ET,SF,17
RB,James Conner (13304277),James Conner,13304277,RB/FLEX,6800,SEA@PIT 09/15/2019 01:00PM ET,PIT,18.3
WR,T.Y. Hilton (13304515),T.Y. Hilton,13304515,WR/FLEX,6800,IND@TEN 09/15/2019 01:00PM ET,IND,14.3
QB,Lamar Jackson (13304201),Lamar Jackson,13304201,QB,6700,ARI@BAL 09/15/2019 01:00PM ET,BAL,23
WR,Kenny Golladay (13304517),Kenny Golladay,13304517,WR/FLEX,6600,LAC@DET 09/15/2019 01:00PM ET,DET,14.1
QB,Deshaun Watson (13304202),Deshaun Watson,13304202,QB,6600,JAX@HOU 09/15/2019 01:00PM ET,HOU,22.8
RB,Joe Mixon (13304279),Joe Mixon,13304279,RB/FLEX,6500,SF@CIN 09/15/2019 01:00PM ET,CIN,9.4
WR,Tyler Boyd (13304519),Tyler Boyd,13304519,WR/FLEX,6500,SF@CIN 09/15/2019 01:00PM ET,CIN,17.1
QB,Aaron Rodgers (13304203),Aaron Rodgers,13304203,QB,6500,MIN@GB 09/15/2019 01:00PM ET,GB,18.4
QB,Tom Brady (13304204),Tom Brady,13304204,QB,6400,NE@MIA 09/15/2019 01:00PM ET,NE,22.3
RB,Chris Carson (13304281),Chris Carson,13304281,RB/FLEX,6400,SEA@PIT 09/15/2019 01:00PM ET,SEA,18
WR,Robert Woods (13304521),Robert Woods,13304521,WR/FLEX,6400,NO@LAR 09/15/2019 04:25PM ET,LAR,15.6
WR,Stefon Diggs (13304523),Stefon Diggs,13304523,WR/FLEX,6300,MIN@GB 09/15/2019 01:00PM ET,MIN,13.7
RB,Leonard Fournette (13304283),Leonard Fournette,13304283,RB/FLEX,6300,JAX@HOU 09/15/2019 01:00PM ET,JAX,17.7
QB,Dak Prescott (13304205),Dak Prescott,13304205,QB,6300,DAL@WAS 09/15/2019 01:00PM ET,DAL,18
WR,Brandin Cooks (13304525),Brandin Cooks,13304525,WR/FLEX,6300,NO@LAR 09/15/2019 04:25PM ET,LAR,15.1
RB,Sony Michel (13304285),Sony Michel,13304285,RB/FLEX,6200,NE@MIA 09/15/2019 01:00PM ET,NE,10.7
QB,Russell Wilson (13304207),Russell Wilson,13304207,QB,6200,SEA@PIT 09/15/2019 01:00PM ET,SEA,20.3
WR,Tyler Lockett (13304527),Tyler Lockett,13304527,WR/FLEX,6200,SEA@PIT 09/15/2019 01:00PM ET,SEA,16.2
QB,Drew Brees (13304206),Drew Brees,13304206,QB,6200,NO@LAR 09/15/2019 04:25PM ET,NO,17.2
